metric,asset,seed_0,mean
A4_tail_qq_error,2,0.0002341934386256578,0.00023419
A4_tail_qq_error,3,0.0008726589222523697,0.00087266
A4_tail_qq_error,4,0.0001876738528890226,0.00018767
A4_tail_qq_error,5,0.00015219097406859547,0.00015219
A4_tail_qq_error,6,9.741969212970032e-05,9.742e-05
A4_tail_qq_error,7,8.510747123792663e-05,8.511e-05
A5_hill_tail_index_error,0,1.7014253420592809,1.70142534
A5_hill_tail_index_error,1,23.49417874602088,23.49417875
A5_hill_tail_index_error,2,68.92572589190107,68.92572589
A5_hill_tail_index_error,3,102.40459411364354,102.40459411
A5_hill_tail_index_error,4,54.83492214657086,54.83492215
A5_hill_tail_index_error,5,41.448699000164225,41.448699
A5_hill_tail_index_error,6,31.017540100635387,31.0175401
A5_hill_tail_index_error,7,70.27968819337592,70.27968819
B_acf_abs_r_der,0,0.00017125785776942408,0.00017126
B_acf_abs_r_der,1,0.00015743899424645462,0.00015744
B_acf_abs_r_der,2,0.0001283887737495736,0.00012839
B_acf_abs_r_der,3,0.00019995686095502247,0.00019996
B_acf_abs_r_der,4,0.00012920774063495834,0.00012921
B_acf_abs_r_der,5,0.0002449928098185842,0.00024499
B_acf_abs_r_der,6,0.00015047490361350067,0.00015047
B_acf_abs_r_der,7,7.816273998642785e-05,7.816e-05
B_acf_abs_r_der_nrmse,0,49.45061226227739,49.45061226
B_acf_abs_r_der_nrmse,1,42.37551936169211,42.37551936
B_acf_abs_r_der_nrmse,2,45.757621760828634,45.75762176
B_acf_abs_r_der_nrmse,3,62.12916827585148,62.12916828
B_acf_abs_r_der_nrmse,4,52.308513625081986,52.30851363
B_acf_abs_r_der_nrmse,5,65.14961280255073,65.1496128
B_acf_abs_r_der_nrmse,6,72.80446546076725,72.80446546
B_acf_abs_r_der_nrmse,7,40.60504212938097,40.60504213
B_acf_abs_r_der_pct,0,153.34181567290213,153.34181567
B_acf_abs_r_der_pct,1,119.34046812859809,119.34046813
B_acf_abs_r_der_pct,2,126.65510650266106,126.6551065
B_acf_abs_r_der_pct,3,110.03634951149618,110.03634951
B_acf_abs_r_der_pct,4,113.3948185356903,113.39481854
B_acf_abs_r_der_pct,5,109.1166427735033,109.11664277
B_acf_abs_r_der_pct,6,92.74304772800029,92.74304773
B_acf_abs_r_der_pct,7,120.37370806979932,120.37370807
B_acf_abs_r_funct,0,0.00023128199693115358,0.00023128
B_acf_abs_r_funct,1,0.00033449674093426017,0.0003345
B_acf_abs_r_funct,2,0.000377792917367416,0.00037779
B_acf_abs_r_funct,3,0.002391960208712073,0.00239196
B_acf_abs_r_funct,4,0.0010925405570323056,0.00109254
B_acf_abs_r_funct,5,0.0011633945804122542,0.00116339
B_acf_abs_r_funct,6,0.0012963130699032177,0.00129631
