metric,scope,mean,std,seed_0,seed_1,seed_2
B_roll_vol_hist_der_pct,per-asset-mean,130700059.63974452,33855525.32716106,93889577.88257863,122590470.37798741,175620130.65866747
B_roll_vol_hist_sec_der_pct,per-asset-mean,109473017.57055043,54619091.41715571,79523897.04949354,62785958.03509211,186109197.62706563
B_roll_vol_hist_funct_nrmse,per-asset-mean,14.75064378,1.05383683,13.431039165984602,14.810578738997947,16.010313447035024
B_roll_vol_hist_der_nrmse,per-asset-mean,45.21162416,5.32434058,37.76704251842202,47.95587765580831,49.911952309884086
B_roll_vol_hist_sec_der_nrmse,per-asset-mean,182.68486788,25.81320267,146.3655370464216,197.65677484214848,204.03229175343282
B_roll_vol_hist_funct_cvar90,per-asset-mean,38.78646632,2.90842319,34.98903007263079,39.31660977878302,42.05375912060738
B_roll_vol_hist_funct_cvar95,per-asset-mean,49.07029738,4.12777465,43.735987973879254,49.68400554198805,53.79089861566165
B_tail_surv_funct,per-asset-mean,0.01240627,0.00153531,0.010594742886449083,0.012275410906740856,0.01434864147850562
B_tail_surv_der,per-asset-mean,0.00025836,2.648e-05,0.00022341456994070852,0.00026420097884106823,0.0002874725490840923
B_tail_surv_sec_der,per-asset-mean,0.00042479,5.241e-05,0.00035850240758068087,0.00042921746141831113,0.0004866522949911744
B_tail_surv_funct_pct,per-asset-mean,22.39418325,1.1493971,21.27958532428194,21.926824148664,23.976140279135137
B_tail_surv_der_pct,per-asset-mean,92.46483014,3.56938627,87.89850536614777,92.88458540111466,96.61139963906727
B_tail_surv_sec_der_pct,per-asset-mean,102376.55705921,5945.3954815,109688.89610549004,95126.1053544266,102314.66971771038
B_tail_surv_funct_nrmse,per-asset-mean,11.96352095,0.73138185,11.071237016648531,11.956616394638761,12.862709429647715
B_tail_surv_der_nrmse,per-asset-mean,121.27636345,5.77902322,114.2290286084904,121.21576416856641,128.3842975720249
B_tail_surv_sec_der_nrmse,per-asset-mean,176.04996426,10.24178104,167.55663671361697,170.13598539489766,190.45727065891487
B_tail_surv_funct_cvar90,per-asset-mean,21.27621692,1.29909423,19.664950916448802,21.317431763840265,22.84626807466681
B_tail_surv_funct_cvar95,per-asset-mean,22.17518773,1.33567803,20.503571995455594,22.249202094911876,23.77278910137994
grid_tvd,per-asset-mean,7.38577313,1.56499606,6.169573465983073,6.392478942871094,9.595266977945963
A19_pred_score_gru,per-asset-mean,0.00389979,2.842e-05,0.0039345,0.0039000000000000003,0.0038648750000000003
A19_pred_score_mlp,per-asset-mean,0.00412675,2.892e-05,0.00416675,0.004114125,0.004099375000000001
